Batch ID,Category,Product Name,Product Image,Store Name,Product Link,Price,Unit Price
39,fruits_and_vegetables,Manitou Μανιταρόγυρος 220γρ.,https://www.bigle.gr/images/products/409bda46-d5fc-4039-9ee4-b67e31598e56.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/manitou-manitaroguros-220gr?4053989,"3,98€","18,09€ ανά κιλό"
40,fruits_and_vegetables,Ρόδια Ελλάδος,https://www.bigle.gr/images/products/0fb0c88f-e70f-42b6-90e5-cf1b63265e2f.jpeg,Θανόπουλος,https://www.bigle.grhttps://www.thanopoulos.gr/products/rodia-ellados-66984b5756e1c6000233a18b/,"2,69€","2,69€ ανά κιλό"
41,fruits_and_vegetables,Λεμόνια Βιολογικής Καλλιέργειας Εισαγωγής,https://www.bigle.gr/images/products/d7b82d6c-3db1-43e9-a2ee-a546a843561b.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/lemonia-biologikhs-kalliergeias-eisagwghs?1517697,"4,89€","4,89€ ανά κιλό"
42,fruits_and_vegetables,Μανιτάρια Πολωνίας 500g,https://www.bigle.gr/images/products/930a3b59-868a-4d68-b2b0-2eaa58727258.jpeg,Bazaar,https://www.bigle.grhttps://www.bazaar-online.gr/manitaria-polonias-500g,"2,50€","5,00€ ανά κιλό"
42,fruits_and_vegetables,Μανιτάρια Πολωνίας 500g,https://www.bigle.gr/images/products/930a3b59-868a-4d68-b2b0-2eaa58727258.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/manitaria-polonias-500-gr,"2,65€","5,30€ ανά κιλό"
43,fruits_and_vegetables,Γλυκοπατάτες Ελληνικές,https://www.bigle.gr/images/products/7de14d8c-d74a-4c8c-84f8-d9662c53be23.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/glikopatates-ellinikes,"0,96€","1,92€ ανά κιλό"
44,fruits_and_vegetables,- | Αχλάδια Κρυστάλλια Συσκευασμένα,https://www.bigle.gr/images/products/3b15f8c2-9d4c-4543-a6bf-12afe20e9487.jpeg,ΑΒ,https://www.bigle.grhttps://www.ab.gr/el/eshop/Oporopoleio/Froyta/Achladia/Achladia-Krystallia-Syskeyasmena/p/7125570,"1,87€","1,87€ ανά κιλό"
45,fruits_and_vegetables,Μανιτάρια Στρογγυλά Α΄ Εισαγωγής 250γρ το Τεμάχιο,https://www.bigle.gr/images/products/515acaf9-c394-4c84-9dc2-c4466281c008.jpeg,Market,https://www.bigle.grhttps://www.market-in.gr/el-gr/manabikh-manabikh-freska-laxanika/manitaria-stroggula-a-eisagoghs-250gr-to-temaxio,"1,44€","5,76€ ανά κιλό"
46,fruits_and_vegetables,ΒΙΟΚΑΡΠΟΣ ΛΕΜΟΝΙΑ ΕΙΣΑΓΩΓΗΣ,https://www.bigle.gr/images/products/no_img.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/2969257000000,"4,60€","4,60€ ανά τεμάχιο"
47,fruits_and_vegetables,ΒΙΟΚΑΡΠΟΣ ΜΗΛΑ ΣΜΙΘ ΕΓΧΩΡΙΑ,https://www.bigle.gr/images/products/4d169f01-ce72-4c2e-b23c-c6efffe020aa.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/2969288000000,"4,60€","4,60€ ανά τεμάχιο"
47,fruits_and_vegetables,ΒΙΟΚΑΡΠΟΣ ΜΗΛΑ ΣΜΙΘ ΕΓΧΩΡΙΑ,https://www.bigle.gr/images/products/4d169f01-ce72-4c2e-b23c-c6efffe020aa.jpeg,Κρητικός,https://www.bigle.grhttps://kritikos-sm.gr/products/manabikh/bio/biologika-mhla-smith-714544,"4,69€","4,69€ ανά κιλό"
48,fruits_and_vegetables,Πιπεριές Φλωρίνης Κρήτης,https://www.bigle.gr/images/products/8c4ed5da-4d4c-4879-932b-e1e400645eed.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/piperies-florinis-kritis,"1,49€","2,98€ ανά κιλό"
49,fruits_and_vegetables,Σύκα Black Mission Ελληνικά Α΄ Ποιότητα,https://www.bigle.gr/images/products/af6bf817-8a39-4511-9a11-cc85b57663a7.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/suka-black-mission-ellhnika-a΄-poiothta?3304896,"4,95€","4,95€ ανά κιλό"
50,fruits_and_vegetables,Manitou Μανιτάρια Φρέσκα Λεντινούλα 200γρ.,https://www.bigle.gr/images/products/4769e215-8654-4815-be89-cdbe2cf3a52a.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/manitou-manitaria-freska-lentinoula-200gr?4053930,"3,98€","19,90€ ανά κιλό"
51,fruits_and_vegetables,Μπανάνες Dole BV Telescopic Εκουαδόρ,https://www.bigle.gr/images/products/980b2820-f5b7-41a5-ba98-f5daaa58c181.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/2106632000000,Not found,"1,55€ ανά τεμάχιο"
52,fruits_and_vegetables,ΦΡΕΣΚΟΥΛΗΣ Σαλάτα Τρυφερά Μαρουλάκια 200 γρ.,https://www.bigle.gr/images/products/12d2a7e5-704d-4cd5-a832-8b0f714c8454.jpeg,Market,https://www.bigle.grhttps://www.market-in.gr/el-gr/manabikh-manabikh-salates-freskies-etoimes/freskoulhs-salata-marouli-200-gr-,"1,89€","9,45€ ανά κιλό"
